city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
gualaco,hn,15,15,91,33,75,9
cabot,us,34,34,72,53,75,10
harpanahalli,in,14,14,70,53,0,7
puerto el triunfo,sv,13,13,95,29,40,4
karachi,pk,24,24,75,73,0,4
devavanya,hu,47,47,32,91,0,2
sarandi,br,-27,-27,75,73,40,11
vao,nc,59,59,16,86,0,2
makat,kz,47,47,25,83,32,3
uvalde,us,29,29,78,64,90,11
balezino,ru,57,57,10,78,36,10
kaili,cn,-3,-3,66,88,12,1
susner,in,23,23,61,52,0,5
zhanaozen,kz,43,43,36,53,0,12
batemans bay,au,-35,-35,60,100,8,5
wilmington,us,39,39,44,45,40,6
gayeri,bf,12,12,72,18,0,9
hope,us,49,49,34,80,90,4
ushuaia,ar,-54,-54,44,75,40,26
pierre,us,44,44,44,70,90,29
sabha,ly,27,27,47,24,0,6
bage,br,10,10,84,53,68,3
coos bay,us,43,43,41,86,90,16
astana,kz,51,51,24,85,90,15
bermeo,es,43,43,53,67,40,11
wuchang,cn,44,44,11,68,0,4
katherine,au,-14,-14,71,88,0,2
picton,ca,-34,-34,63,93,90,3
channagiri,in,14,14,70,54,0,7
kilosa,tz,-6,-6,70,94,92,4
paros,gr,44,44,29,90,20,3
nuh,in,28,28,71,60,0,4
starobaltachevo,ru,56,56,10,84,0,5
sakhnovshchyna,ua,49,49,23,89,92,8
canchungo,gw,12,12,86,70,0,9
la cruz,mx,23,23,87,36,0,4
lewistown,us,40,40,50,34,75,17
macheng,cn,31,31,48,84,92,3
panama city,us,30,30,68,39,1,9
molchanovo,ru,57,57,23,85,32,9
anzhero-sudzhensk,ru,56,56,30,93,88,9
gimbi,et,8,8,52,67,56,1
birin,dz,35,35,61,33,76,7
missoula,us,46,46,46,45,90,5
letlhakeng,bw,-24,-24,64,99,80,7
baiao,br,-2,-2,77,94,92,2
dmytrivka,ua,50,50,24,62,0,4
ossora,ru,59,59,13,90,88,12
bridlington,gb,54,54,43,81,88,1
bad wurzach,de,47,47,34,80,75,3
santa maria,br,-29,-29,80,83,75,9
turangi,nz,-39,-39,55,100,92,8
blythe,us,33,33,80,26,1,3
muscat,om,23,23,78,61,0,5
liuhe,cn,42,42,23,70,0,5
yondo,co,7,7,87,70,20,3
yueyang,cn,29,29,55,79,68,3
zhezkazgan,kz,47,47,24,81,0,14
el sauzal,mx,-24,-24,82,54,0,4
lillooet,ca,50,50,42,56,75,17
ailigandi,pa,9,9,79,82,92,7
chandur,in,20,20,63,56,0,4
nola,cf,3,3,76,85,48,2
rongcheng,cn,37,37,42,94,8,8
murliganj,in,25,25,67,49,0,4
forest acres,us,34,34,62,26,1,10
saint-pierre,re,48,48,40,86,75,10
terny,ua,50,50,10,64,20,2
hauterive,ca,46,46,36,89,20,5
worland,us,44,44,52,81,90,19
tekeli,kz,44,44,27,74,0,2
kanchanaburi,th,14,14,69,97,20,2
lahijan,ir,37,37,51,100,90,2
minna,ng,9,9,73,96,48,3
bereda,so,43,43,48,70,75,14
pandan,ph,11,11,78,100,88,27
polovinnoye,ru,54,54,20,95,88,11
ferkessedougou,ci,9,9,69,60,24,5
dutse,ng,11,11,82,26,48,10
hikari,jp,33,33,41,80,20,6
alamogordo,us,32,32,82,13,75,9
ofaqim,il,31,31,76,27,88,12
singanallur,in,11,11,78,78,40,3
phalaborwa,za,-23,-23,63,95,48,5
beni,cd,0,0,65,97,68,1
birecik,tr,37,37,59,51,0,3
luancheng,cn,37,37,46,75,0,8
kalispell,us,48,48,42,45,1,10
harnosand,se,62,62,31,95,90,8
lompoc,us,34,34,59,62,1,14
tainan,tw,22,22,59,76,20,1
sonipat,in,29,29,71,60,0,4
otavi,na,-19,-19,61,95,76,3
santa teresa,ph,10,10,82,61,75,6
chapais,ca,49,49,30,46,1,16
ekhabi,ru,53,53,10,79,32,10
mayo,ca,63,63,12,47,20,3
lar,ir,27,27,69,32,0,1
zelenogorskiy,ru,55,55,32,90,90,8
beitbridge,zw,-22,-22,70,82,64,11
tafresh,ir,34,34,39,57,0,1
verkhnetulomskiy,ru,68,68,15,78,0,8
avare,br,-23,-23,83,66,0,6
casambalangan,ph,18,18,74,100,0,19
meybod,ir,32,32,62,14,0,4
mombetsu,jp,44,44,21,100,20,4
edson,ca,53,53,44,22,75,14
yar-sale,ru,66,66,-19,56,56,9
palora,ec,-1,-1,69,87,56,2
barao de melgaco,br,-16,-16,77,94,75,3
voghera,it,44,44,48,61,0,5
guantanamo,cu,-16,-16,86,66,40,13
diosjeno,hu,47,47,32,77,0,8
dunda,tz,30,30,41,70,0,2
melville,ca,50,50,32,97,1,17
hanover,us,52,52,43,81,75,4
cobija,bo,-11,-11,84,74,75,11
poplar bluff,us,36,36,61,51,1,8
niteroi,br,-29,-29,87,62,40,8
tongren,cn,27,27,55,96,92,2
lubaczow,pl,50,50,24,79,0,6
sarahan,in,31,31,7,81,24,1
oleksandrivka,ua,48,48,25,91,88,8
beidao,cn,34,34,36,68,32,3
gulfport,us,30,30,69,49,1,12
saposoa,pe,-6,-6,88,66,40,1
kipushi,cd,-11,-11,63,95,24,2
serebryanyy bor,ru,56,56,17,79,24,5
staropyshminsk,ru,56,56,5,92,0,4
okahandja,na,-21,-21,68,45,24,3
pouebo,nc,-20,-20,76,97,88,10
graaff-reinet,za,-32,-32,59,53,76,3
arauca,co,7,7,89,41,40,3
albury,au,-36,-36,64,72,75,3
mega,et,4,4,59,92,8,3
fuerte olimpo,py,-21,-21,89,68,0,8
tougan,bf,13,13,72,16,0,9
felipe carrillo puerto,mx,19,19,85,38,0,8
riberalta,bo,-11,-11,82,74,75,4
basudebpur,in,21,21,79,100,0,11
dinguiraye,gn,11,11,75,33,0,5
mamaku,nz,-38,-38,61,79,88,7
yefremov,ru,53,53,29,93,88,11
serra,br,-20,-20,80,88,20,8
nyakahanga,tz,-1,-1,62,91,12,2
sandpoint,us,48,48,44,52,90,3
lima,py,-12,-12,66,82,56,2
sinjai,id,-5,-5,70,100,12,2
zerbst,de,51,51,35,95,75,8
nanyang,cn,33,33,52,85,64,11
saint-malo,fr,48,48,45,81,88,13
sabathu,in,31,31,46,85,0,2
lamesa,us,32,32,86,15,1,12
nikolayevka,ru,46,46,33,98,100,18
tranas,se,58,58,32,80,32,3
colinas,br,-6,-6,74,96,92,2
vigrestad,no,58,58,41,93,75,25
petropavlovskoye,ru,46,46,17,92,75,2
kokoda,pg,-8,-8,63,96,48,2
namanyere,tz,-7,-7,57,83,0,1
ferme-neuve,ca,46,46,32,59,44,8
ereymentau,kz,51,51,32,95,64,19
bronnoysund,no,65,65,33,74,92,12
bianzhuang,cn,39,39,20,63,0,2
zhengjiatun,cn,43,43,30,50,0,7
uri,in,40,40,42,87,20,1
cananeia,br,-25,-25,78,100,88,9
tromso,no,69,69,19,73,20,2
umm kaddadah,sd,13,13,68,24,0,3
matay,eg,28,28,77,29,80,10
valley,us,53,53,42,81,92,8
wadi,in,17,17,71,31,0,5
faanui,pf,-16,-16,82,99,64,14
uspenka,ru,48,48,26,94,76,9
lunenburg,ca,42,42,43,33,90,11
villarrica,cl,-39,-39,49,100,92,3
balingasay,ph,16,16,74,96,0,13
bacalar,mx,18,18,84,51,40,11
rovereto,it,45,45,46,56,40,6
heyang,cn,26,26,54,78,88,7
barsovo,ru,61,61,0,70,92,8
kizilskoye,ru,52,52,16,84,0,10
ullapool,gb,57,57,42,98,76,17
calatayud,es,41,41,56,41,0,5
paharpur,pk,32,32,57,87,0,2
ibicui,br,-14,-14,74,82,92,7
neokhorion,gr,41,41,38,100,92,1
caernarfon,gb,53,53,42,81,92,8
bachaquero,ve,9,9,88,73,12,2
bayog,ph,7,7,70,100,0,3
banepa,np,27,27,55,66,20,4
rio novo do sul,br,-20,-20,79,92,20,16
vitre,fr,48,48,46,87,75,11
severomuysk,ru,56,56,15,77,92,3
santo antonio do taua,br,-1,-1,77,88,90,5
dafeng,cn,33,33,43,82,48,3
sao mateus,br,-18,-18,80,87,12,11
netrakona,bd,24,24,69,86,0,3
ambon,id,47,47,48,93,92,14
chitral,pk,35,35,14,85,20,0
carlagan,ph,14,14,76,99,76,24
el cobre,cu,20,20,82,42,20,16
bobrov,ru,51,51,17,82,76,7
beaune,fr,47,47,37,100,75,4
neepawa,ca,50,50,35,55,90,17
itapora,br,-22,-22,83,82,20,3
glubokiy,ru,48,48,27,93,92,10
bukoba,tz,-1,-1,67,100,8,2
cua,ve,10,10,82,61,75,6
kenora,ca,49,49,37,34,1,11
wiarton,ca,44,44,32,100,20,9
san quintin,mx,17,17,60,85,0,4
cedar rapids,us,41,41,48,34,1,23
arraias,br,-12,-12,81,76,68,4
tapiramuta,br,-11,-11,74,82,88,9
linhares,br,-19,-19,77,80,80,7
glens falls,us,43,43,41,44,90,5
maua,ke,0,0,60,82,44,2
peyima,sl,8,8,76,87,24,5
pinar del rio,cu,22,22,80,39,0,8
mbanza-ngungu,cd,-5,-5,75,71,0,5
kirkwood,za,-33,-33,64,88,0,4
king city,us,36,36,59,41,1,6
biggar,ca,55,55,39,86,0,6
amuntai,id,-2,-2,72,98,0,1
krasne,ua,49,49,24,79,0,6
ntungamo,ug,0,0,61,85,12,2
aracaju,br,-10,-10,82,78,40,13
sambava,mg,-14,-14,80,100,48,14
galveston,us,40,40,46,31,1,11
kitgum,ug,3,3,65,81,36,3
huambo,ao,-12,-12,62,96,92,2
igarka,ru,67,67,-25,38,0,8
poletayevo,ru,55,55,12,85,40,6
uusikaupunki,fi,60,60,21,85,0,2
rancharia,br,-22,-22,82,58,40,3
santa luzia,br,-19,-19,75,69,40,17
hare bay,ca,48,48,37,74,75,11
umarizal,br,-5,-5,81,72,24,3
yurla,ru,59,59,9,73,44,7
juquitiba,br,-23,-23,77,83,90,11
samagaltay,ru,50,50,19,68,64,1
obeliai,lt,55,55,20,85,0,6
coremas,br,-7,-7,81,65,36,5
kamiiso,jp,41,41,19,92,0,2
praia da vitoria,pt,38,38,63,97,48,15
partizanskoye,ru,44,44,42,90,92,12
carmelo,uy,-34,-34,79,42,40,4
san lazaro,py,18,18,83,61,40,13
magdagachi,ru,53,53,20,84,0,4
natchitoches,us,31,31,78,44,75,14
warkworth,nz,-36,-36,68,82,92,11
primorsko-akhtarsk,ru,46,46,35,90,92,14
carman,ca,49,49,37,69,1,16
mehamn,no,71,71,24,73,75,23
cabo san lucas,mx,22,22,83,26,75,5
sao felix do xingu,br,-6,-6,81,80,76,2
sassenberg,de,51,51,41,75,75,3
thanh hoa,vn,10,10,78,76,8,11
erzincan,tr,39,39,62,37,75,17
aloleng,ph,16,16,74,96,0,13
west odessa,us,31,31,86,21,48,9
parana,ar,-7,-7,80,74,75,4
fort william,gb,56,56,37,97,92,6
abramovka,ru,51,51,17,82,68,8
claveria,ph,8,8,64,100,24,3
channel-port aux basques,ca,47,47,33,91,0,18
sirsa,in,29,29,63,75,0,3
yarensk,ru,62,62,16,88,88,2
tailai,cn,46,46,31,50,0,10
atambua,id,-9,-9,76,100,36,2
keighley,gb,53,53,42,80,0,1
matam,sn,15,15,79,15,0,12
notre-dame-du-lac,ca,47,47,42,35,75,13
minas,uy,-34,-34,78,47,0,11
palanga,lt,44,44,26,95,68,2
moura,pt,38,38,53,98,92,18
lamar,us,38,38,82,14,75,28
sukhoy log,ru,56,56,7,76,8,4
trairi,br,-3,-3,81,100,64,10
mariental,na,52,52,41,80,75,4
elesbao veloso,br,-6,-6,77,89,56,1
saint-augustin,ca,44,44,48,100,90,8
kotma,in,23,23,63,54,0,4
rio tercero,ar,-32,-32,83,45,0,11
caiaponia,br,-16,-16,79,85,24,3
kruisfontein,za,-34,-34,66,85,8,3
artesia,us,32,32,88,10,1,27
srivardhan,in,18,18,63,95,0,3
dubti,et,11,11,71,32,0,6
wenchi,gh,7,7,72,95,32,3
rojhan,pk,28,28,66,50,0,2
tabas,ir,33,33,44,38,0,2
teacapan,mx,22,22,87,34,12,3
sorong,id,0,0,78,100,76,6
golub-dobrzyn,pl,53,53,33,90,88,3
provideniya,ru,64,64,29,96,92,37
bernalillo,us,35,35,68,18,76,33
cernat,ro,45,45,23,85,80,1
melivoia,gr,41,41,48,93,40,6
tello,co,3,3,89,49,40,3
silver city,us,32,32,73,18,1,27
tres arroyos,ar,-38,-38,65,89,0,11
sedkyrkeshch,ru,61,61,24,85,40,4
zanjan,ir,36,36,38,61,0,4
florian,co,48,48,37,48,1,14
mincivan,az,39,39,44,75,32,0
alta gracia,ar,-31,-31,93,28,40,10
monte alegre de minas,br,-18,-18,83,64,12,4
myanaung,mm,18,18,68,93,0,4
alampur,in,15,15,77,64,64,4
agucadoura,pt,41,41,50,76,75,18
santa cruz cabralia,br,-16,-16,78,83,20,6
yumen,cn,40,40,33,58,0,5
nusaybin,tr,37,37,64,27,40,20
ormond beach,us,29,29,66,39,5,9
canyon,us,34,34,88,10,1,25
san pedro buenavista,mx,20,20,80,69,90,11
akhmim,eg,26,26,73,41,36,2
kokstad,za,-30,-30,52,92,36,2
benidorm,es,38,38,62,48,20,14
honiara,sb,-9,-9,78,88,75,5
kwekwe,zw,-18,-18,63,94,36,7
ramos arizpe,mx,25,25,86,45,5,9
divnogorsk,ru,55,55,35,80,75,17
senneterre,ca,48,48,28,50,40,12
moyobamba,pe,-6,-6,79,78,44,2
lydenburg,za,-25,-25,57,99,92,2
vavuniya,lk,8,8,70,92,0,3
zarate,ar,-13,-13,71,83,0,9
tetovo,mk,43,43,25,95,12,5
changping,cn,40,40,37,63,0,2
coldwater,us,41,41,43,28,1,11
ntcheu,mw,-14,-14,70,99,76,1
coihueco,cl,-36,-36,69,56,75,13
krasnovka,ru,48,48,27,93,92,10
westwood,us,-23,-23,73,83,40,6
murdochville,ca,48,48,30,78,88,5
mokobeng,bw,-23,-23,65,98,92,4
kurumkan,ru,54,54,10,64,0,2
ternate,id,14,14,77,69,40,6
eyl,so,7,7,76,100,24,6
changde,cn,29,29,56,92,44,4
miguelopolis,br,-20,-20,78,69,75,3
el dorado,us,6,6,82,56,0,4
buribay,ru,51,51,16,82,0,11
ust-nera,ru,64,64,-16,42,44,2
kyabe,td,9,9,81,48,20,4
menomonie,us,44,44,39,35,1,14
martapura,id,-3,-3,75,100,0,2
trelew,ar,-43,-43,65,29,0,21
telde,es,27,27,62,67,20,20
roura,gf,4,4,82,74,90,9
mandera,ke,3,3,81,60,36,2
vitim,ru,59,59,23,79,92,5
lamtah,tn,35,35,53,71,40,19
conguaco,gt,14,14,90,31,75,5
itoigawa,jp,37,37,42,100,80,3
bambanglipuro,id,-7,-7,68,98,0,2
macapa,br,0,0,78,100,75,2
ingersoll,ca,43,43,37,51,40,11
messini,gr,37,37,48,93,75,2
corinth,us,37,37,48,87,20,3
lucapa,ao,-8,-8,69,87,20,3
tera,ne,34,34,64,82,40,11
morros,br,-2,-2,80,88,75,4
bataipora,br,-22,-22,92,49,24,3
